k,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_false_acceptance_rate,mean_false_rejection_rate,mean_authenticity_probability
1,0.9620000000000001,0.7614068825910931,0.8099999999999999,0.7771897384641013,0.02111111111111111,0.19,0.1
2,0.966,0.8098684210526315,0.79,0.7901391409558378,0.014444444444444444,0.21000000000000002,0.1
3,0.969,0.8061096797938904,0.8400000000000001,0.8125175507484353,0.016666666666666666,0.16,0.1
4,0.969,0.8061096797938904,0.8400000000000001,0.8125175507484353,0.016666666666666666,0.16,0.1
5,0.968,0.8006151742993849,0.8400000000000001,0.8088943623426381,0.017777777777777778,0.16,0.1
6,0.9640000000000001,0.8006151742993849,0.8,0.7838943623426382,0.017777777777777778,0.2,0.1
7,0.96,0.792377188029362,0.8,0.7763708513708514,0.022222222222222223,0.2,0.09999999999999999
8,0.95,0.7209486166007906,0.7,0.693037518037518,0.022222222222222223,0.3,0.1
9,0.945,0.6953804347826087,0.7,0.6765540015540015,0.02777777777777778,0.3,0.1
