target_participant,k,accuracy,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,false_acceptance_rate,false_rejection_rate,mean_authenticity_probability
participant_007,2,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_007,3,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_007,4,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_007,5,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_007,6,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_007,7,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_007,8,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_007,9,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_008,1,0.98,0.9,0.9,0.9,9,1,89,1,0.011111111111111112,0.1,0.1
participant_008,2,0.99,1.0,0.9,0.9473684210526315,9,0,90,1,0.0,0.1,0.105
participant_008,3,0.97,0.8181818181818182,0.9,0.8571428571428571,9,2,88,1,0.022222222222222223,0.1,0.10666666666666666
participant_008,4,0.97,0.8181818181818182,0.9,0.8571428571428571,9,2,88,1,0.022222222222222223,0.1,0.1075
participant_008,5,0.97,0.8181818181818182,0.9,0.8571428571428571,9,2,88,1,0.022222222222222223,0.1,0.11800000000000001
participant_008,6,0.97,0.8181818181818182,0.9,0.8571428571428571,9,2,88,1,0.022222222222222223,0.1,0.125
participant_008,7,0.97,0.8181818181818182,0.9,0.8571428571428571,9,2,88,1,0.022222222222222223,0.1,0.14
participant_008,8,0.97,0.8181818181818182,0.9,0.8571428571428571,9,2,88,1,0.022222222222222223,0.1,0.1525
participant_008,9,0.92,0.5625,0.9,0.6923076923076923,9,7,83,1,0.07777777777777778,0.1,0.14333333333333334
participant_009,1,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_009,2,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.09
participant_009,3,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.08666666666666666
participant_009,4,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.085
participant_009,5,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.084
participant_009,6,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.08333333333333334
participant_009,7,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.08285714285714285
participant_009,8,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.0725
participant_009,9,0.98,1.0,0.8,0.8888888888888888,8,0,90,2,0.0,0.2,0.07444444444444444
participant_010,1,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_010,2,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_010,3,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.1
participant_010,4,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.09
participant_010,5,1.0,1.0,1.0,1.0,10,0,90,0,0.0,0.0,0.084
participant_010,6,0.96,1.0,0.6,0.75,6,0,90,4,0.0,0.4,0.06999999999999999
participant_010,7,0.96,1.0,0.6,0.75,6,0,90,4,0.0,0.4,0.06
participant_010,8,0.96,1.0,0.6,0.75,6,0,90,4,0.0,0.4,0.0525
participant_010,9,0.96,1.0,0.6,0.75,6,0,90,4,0.0,0.4,0.04666666666666666
