k,accuracy,mean_authenticity_probability,authentication_rate_at_0_5
1,0.8,0.8,0.8
2,0.8,0.8166666666666667,0.8333333333333334
3,0.8,0.8166666666666667,0.8
4,0.8166666666666667,0.8,0.8166666666666667
5,0.8166666666666667,0.77,0.8166666666666667
6,0.75,0.6500000000000001,0.8166666666666667
7,0.75,0.5738095238095239,0.75
8,0.75,0.5166666666666667,0.75
9,0.75,0.46666666666666673,0.6666666666666666
